case_id,trade_nm,legal_name,street_addr_1_txt,cty_nm,st_cd,zip_cd,naic_cd,naics_code_description,case_violtn_cnt,cmp_assd_cnt,ee_violtd_cnt,bw_atp_amt,ee_atp_cnt,findings_start_date,findings_end_date
1752551,3S Network Inc.,"3S Network, Inc.",30398 Esperanza,Rancho Santa Margarita,CA,92688,5179,Other Telecommunications,6,0,5,15547.21,5,1/1/2014,5/31/2015
1494532,Hilton Garden Inn,4MB Inc,3600 Sycamore Dairy Rd,Fayetteville,NC,28303,721110,Hotels (except Casino Hotels) and Motels,4,0,3,722.11,3,10/27/2006,10/23/2007
1508305,Hilton Garden Inn,4MB Inc,3600 Sycamore Dairy Road,Fayetteville,NC,28303,721110,Hotels (except Casino Hotels) and Motels,32,5984,32,3301.1,32,10/1/2005,3/21/2008
1660527,Hilton Garden Inn & Suites,"4MB, Inc",4025 Sycamore Dairy Rd,Fayetteville,NC,28303,72111,Hotels (except Casino Hotels) and Motels,33,1485,27,3739.85,27,2/5/2011,7/16/2012
1609292,Hilton Garden Inn,"4MB, Inc",4025 Sycamore Dairy Road,Fayetteville,NC,28303,72111,Hotels (except Casino Hotels) and Motels,17,0,16,2658.45,16,2/4/2009,2/3/2011
1657061,7 Springs Farm,7 Springs Farm,588 Seven Springs Road,Wellington,AL,36279,111334,Berry (except Strawberry) Farming,0,0,0,0,0,5/22/2010,5/21/2012
1549252,Springs Farm,"Springs Farm, Inc.",1200 Springfield Pkwy,Fort Mill,SC,29716,111339,Other Noncitrus Fruit Farming,18,0,14,367.57,14,3/1/2008,7/29/2009
1550305,Springs Farms Housing,Springs Farms,2580 Coltharpe Road,Fort Mill,SC,29715,111339,Other Noncitrus Fruit Farming,5,750,0,0,0,1/16/2009,6/25/2009
1656371,Springs Farm,"Springs Farm, Inc.",1200 Springfield Parkway,Fort Mill,SC,29716,111339,Other Noncitrus Fruit Farming,5,10650,1,1112.43,1,1/3/2011,5/15/2012
1845004,Popeye's Louisiana Kitchen,755 Restaurant Corporation,1517 Highway 27 South,Carrollton,GA,30117,722211,Limited-Service Restaurants,10,0,9,308.59,9,5/1/2017,2/15/2018
1845005,Popeye's,755 Restaurant Corporation,3506 Memorial Drive,Decatur,GA,30032,722211,Limited-Service Restaurants,11,0,11,1281.6,11,2/14/2016,2/13/2018
1841204,Popeyes Louisiana Kitchen,755 Restaurant Corporation,5557 N. Henry Blvd,Stockbridge,GA,30281,722211,Limited-Service Restaurants,26,0,26,2095.72,26,1/9/2016,1/8/2018
1846131,755 Restaurant Corporation,755 Restaurant Corporation,3466 Buffington Center,Atlanta,GA,30349,722211,Limited-Service Restaurants,93,0,93,16862.06,93,3/10/2016,3/9/2018
1751663,Paradise Car Wash  Detail Co./Ancira Chrysler,"A & A Best Investments, LLC",10807 I-10 Frontage Road,San Antonio,TX,78230,811192,Car Washes,7,0,5,983.79,5,1/28/2013,12/1/2014
1751655,Paradise Car Wash & Detail/ Ancira Nissan,A & A Best Investments LLC,10835 I-10 Frontage Road,San Antonio,TX,78230,811192,Car Washes,6,0,6,486.86,6,1/28/2013,12/1/2014
1744811,Paradise Car - Wash  & Detail Company,A & A Best Investments LLC,6617 Evers Rd.,San Antonio,TX,78240,811192,Car Washes,22,0,20,4747.79,20,1/28/2013,12/1/2014
1751666,Paradise Car Wash /Ford McCombs/Toyota McComb,A & A Best Investments LLC,8333 IH-10 Frontage Road,San Antonio,TX,78230,811192,Car Washes,11,0,11,1270.45,11,1/30/2013,12/29/2014
1377998,A & A Trucking,A & A Trucking,Hwy 71 & Hwy 88,Fouke,AR,71837,53241,"Construction, Transportation, Mining, and Forestry Machinery and Equipment Rental and Leasing",1,0,1,0,0,7/1/2003,10/1/2004
1570171,"G & A Trucking, Inc.",G & A Trucking,"114 South Center, Suite 108",Gaylord,MI,49735,484220,"Specialized Freight (except Used Goods) Trucking, Local",3,0,2,1347.24,2,4/7/2009,3/26/2011
1487444,Maria Garcia FLC,L & A Trucking,28 Monaco Terrace,Naples,FL,34112,115115,Farm Labor Contractors and Crew Leaders,7,875,0,0,0,6/4/2007,7/6/2007
1799252,"A & L Farms, Inc","A & L Farms, Inc",13982 Lake Michigan Dr.,West Olive,MI,49460,111334,Berry (except Strawberry) Farming,0,0,0,0,0,8/17/2014,8/16/2016
1589583,"A & L Farms, Inc.","A & L Farms, Inc.",12061 144th St.,Grand Haven,MI,49417,713990,All Other Amusement and Recreation Industries,108,17300,51,2011.41,51,7/1/2010,9/23/2010
1853728,C&L Packing  Corporation- AGER,"C & L Farms, Inc.",1300 State Rd 31,Punta Gorda,FL,33982,111219,Other Vegetable (except Potato) and Melon Farming,1,0,0,0,0,4/16/2018,5/25/2018
1803597,J L Farms,"J & L Farms, Inc.",11675 415th Ave,Claremont,SD,57432,11211,"Beef Cattle Ranching and Farming, including Feedlots",12,8289.6,5,3434.92,5,3/28/2015,6/29/2016
1740332,A & S Landscaping,A & S Landscaping Inc,2150 Washington Road,Canonsburg,PA,15317,561730,Landscaping Services,24,0,20,2516.99,20,1/13/2013,1/4/2015
1583564,R & S Landscaping,"R & S Landscaping, Inc.",170 Mystic Avenue,Medford,MA,2155,561730,Landscaping Services,45,0,44,85025.02,44,8/23/2009,8/20/2011
1701886,J & S Landscaping Inc,J & S Landscaping Inc,90 Maple Street,Kulpmont,PA,17834,561730,Landscaping Services,5,6850,3,1047.5,2,10/28/2011,10/29/2013
1650702,"D & S Landscaping, Inc.","D & S Landscaping, Inc.",9782 S. Flynn Road,Livermore,CA,94550,561730,Landscaping Services,26,7854,21,42752.25,21,12/8/2010,4/26/2012
1587959,Nurse Temps,A + Nurse Temps Inc.,2008 US Hwy 44 W,Inverness,FL,34453,561320,Temporary Help Services,154,167200,152,148679.31,148,5/11/2008,9/18/2011
1373209,A+Nurse Temps,A+ Nurse Temps,77 E. Wilson Bridge Rd.,Worthington,OH,43085,561320,Temporary Help Services,0,0,1,0,0,1/13/2003,5/10/2004
1614208,Nurse Temps,"A+ Nurse Temps, Inc","2175 Denton Road, Suite 2",Dothan,AL,36301,561320,Temporary Help Services,0,0,0,0,0,4/4/2009,4/4/2011
1661994,"Nurse Temps,Inc","Nurse Temps, Inc",2175 Denton Road Ste 2,Dothan,AL,36301,561320,Temporary Help Services,1,0,1,0,0,4/9/2011,7/7/2012
1391178,Carolyn Mitchell's Loving Care Home,"A Family Affair, Inc.",7556 Cosgrove Way,Sacramento,CA,95822,623312,Homes for the Elderly,0,0,0,0,0,1/1/2003,1/1/2005
1387311,A Family Affair,A Family Affair,7526 21st Street,Sacramento,CA,95822,623312,Homes for the Elderly,2,0,0,0,0,12/16/2002,12/16/2004
1674783,CiCi's Pizza,Family Affairs,3379 Battleground Ave.,Greensboro,NC,27410,722211,Limited-Service Restaurants,3,900,2,29,1,11/6/2010,11/5/2012
1499109,A Family Affair,"A Family Affair, Inc.",1917 O'Neil Way,Sacramento,CA,95822,623210,Residential Mental Retardation Facilities,1,0,0,0,0,7/31/2008,7/30/2010
1553950,A to Z Food Mart,"A to Z Food Mart, LLC",2301 Broad Street,Selma,AL,36701,447110,Gasoline Stations with Convenience Stores,1,0,0,0,0,8/18/2007,8/15/2009
1488781,"A to Z Food Mart, LLC","A to Z Food Mart, LLC",2301 Broad Street,Selma,AL,36701,44711,Gasoline Stations with Convenience Stores,4,0,3,156,3,11/6/2006,8/11/2007
1795218,Pure Gas Station,A to Z Food Mart LLC,2301 Broad Street,Selma,AL,36701,447110,Gasoline Stations with Convenience Stores,28,0,27,587.25,27,6/1/2014,5/29/2016
1710390,A to Z Food Mart,A to Z Food Mart LLC,2301 Broad Street,Selma,AL,36701,4471,Gasoline Stations,9,616,4,16914.49,4,12/25/2011,12/22/2013
1729211,"Scott Enterprises, Inc.",A Touch of Home,4301 Crestridge Dr.,Round Rock,TX,78681,623110,Nursing Care Facilities,19,0,9,0,0,10/1/2013,9/30/2015
1594599,Touch of Home,"A Touch of Home, LLC",131 Jadon Dr,Lebanon,OR,97355,6233,Community Care Facilities for the Elderly,5,0,4,3710.24,4,9/1/2008,8/31/2010
1683401,"A Touch of Home, Inc.","A Touch of Home, Inc.",1211 Mark Avenue,Tomah,WI,54660,623312,Homes for the Elderly,11,0,10,1541.45,10,1/31/2011,1/26/2013
1734603,A Touch of Home,"A Touch of Home, Inc",5620 North Freeway,Houston,TX,77076,623220,Residential Mental Health and Substance Abuse Facilities,8,0,4,30537.22,4,9/1/2012,8/31/2014
1576796,A. Bonamese Contracting (Holmes),"A. Bonamese Contracting, Inc.",860 Boardman Rd.,Boardman,OH,44512,237310,"Highway, Street, and Bridge Construction",22,0,8,20137.7,8,6/17/2009,8/19/2009
1576797,A. Bonamese Contracting (Gallia),"A. Bonamese Contracting, Inc.",860 Boardman-Canfield Rd.,Boardman,OH,44512,237310,"Highway, Street, and Bridge Construction",35,0,14,15596.1,14,9/2/2009,11/18/2009
1576798,A. Bonamese Contracting (Adams),"A. Bonamese Contracting, Inc.",860 Boardman-Canfield Rd.,Boardman,OH,44512,237310,"Highway, Street, and Bridge Construction",35,0,20,29435.45,20,7/22/2009,10/14/2009
1563572,A. Bonamase Contracting (ARRA),"A. Bonamese Contracting, Inc.",860 Boardman-Canfield Rd.,Boardman,OH,44512,237310,"Highway, Street, and Bridge Construction",46,0,20,47464.1,20,8/20/2009,12/16/2009
1589470,A. B. Y. Corp dba Pronto,A.B.Y. Corporation,1146 S. Crocker Street,Los Angeles,CA,90021,315232,Women's and Girls' Cut and Sew Blouse and Shirt Manufacturing,1,0,0,0,0,4/7/2010,7/7/2010
1705954,Pronto,A.B.Y. Corporation,1146 S. Crocker St.,Los Angeles,CA,90021,3152,Cut and Sew Apparel Manufacturing,1,0,0,0,0,8/30/2011,8/30/2013
1829116,A.I.D. Temporary Services,A.I.D. Temporary Services Inc.,1219 Commerce Dr. - Suite #1,Mountain Home,AR,72653,561320,Temporary Help Services,35,0,0,0,0,6/6/2015,6/5/2017
1829120,A.I. D. Temporary Services,A.I.D. Temporary Services Inc.,306 West Hale,Osceola,AR,72370,561320,Temporary Help Services,20,0,0,0,0,6/6/2015,6/5/2017
1829123,A.I.D. Temporary Services,A.I.D. Temporary Services Inc.,1415 Commerce Dr. - Suite B,Pocahontas,AR,72455,561320,Temporary Help Services,98,0,48,1254.44,48,8/1/2015,7/31/2017
1819761,A.I.D. Temporary Services,"A.I.D. Temporary Services, Inc.",1805 Avenir Pl,Jonesboro,AR,72401,561320,Temporary Help Services,105,0,5,121.74,5,6/6/2015,6/5/2017
1492182,AJM Packaging Corporation,A.J.M. Packaging Corporation,3400 Enterprise Avenue,Joplin,MO,64801,32222,Paper Bag and Coated and Treated Paper Manufacturing,20,0,20,11283.09,18,1/16/2006,1/13/2008
1689609,AJM Packaging,AJM Packaging Corporation,E-4111 Andover Rd.,Bloomfield Hills,MI,48302,424110,Printing and Writing Paper Merchant Wholesalers,0,0,0,0,0,4/1/2011,3/31/2013
1691384,AJM Packaging Corporation,AJM Packaging Corp,3401 Southeast Blvd.,Vineland,NJ,8360,561910,Packaging and Labeling Services,0,0,0,0,0,9/20/2011,9/19/2013
1828814,AJM Packaging Corp,AJM Packaging Corporation,3401 South East Boulevard,Vineland,NJ,8360,488991,Packing and Crating,0,0,0,0,0,10/12/2015,10/11/2017
1431915,A1 Wireless,A1 Cellular Inc,7703 N Kings Hwy,Myrtle Beach,SC,29572,453998,All Other Miscellaneous Store Retailers (except Tobacco Stores),5,0,3,1714.29,3,9/14/2004,9/13/2006
1456999,A1 Wireless,A1 Cellular Inc,7703 N Kings Hwy,Myrtle Beach,SC,29572,453998,All Other Miscellaneous Store Retailers (except Tobacco Stores),4,0,2,121.67,2,9/21/2004,9/20/2006
1459324,A-1 Wireless,A-1 Cellular Inc.,10th Avenue North #19,Myrtle Beach,SC,29577,51731,Telecommunications Resellers,1,0,0,0,0,10/7/2004,10/6/2006
1459323,A-1 Wireless,A-1 Cellular Inc.,7703 North Kings Hwy Suite 2,Myrtle Beach,SC,29572,517212,Cellular and Other Wireless Telecommunications,35,0,34,17661.55,34,10/4/2004,10/7/2006
1486293,"A-1 Check Cashing, Inc. - North Jackson",A-1 Management LLC,"5321 I-55 North, Suite B",Jackson,MS,39206,522310,Mortgage and Nonmortgage Loan Brokers,6,0,4,0,0,7/22/2005,7/14/2007
1487007,"A-1 Management, LLC - Madison","A-1 Management, LLC",110 Depot Drive,Madison,MS,39110,522310,Mortgage and Nonmortgage Loan Brokers,18,0,16,0,0,7/22/2005,7/14/2007
1486294,"A-1 Check Cashing, Inc. - South Jackson","A-1 Management, LLC","2310 Highway 80 West, Suite B",Jackson,MS,39204,522310,Mortgage and Nonmortgage Loan Brokers,6,0,5,0,0,7/22/2005,7/14/2007
1477688,"A-1 Check Cashing, Inc. - Pearl","A-1 Management, Inc.",A-1 Management Inc. d/b/a,Pearl,MS,39208,522310,Mortgage and Nonmortgage Loan Brokers,1,0,1,0,0,7/22/2005,7/14/2007
1481481,"AAA Northwest Ohio, Inc  Airport Rd.","AAA Northwest Ohio, Inc.",5606 Airport Highway,Toledo,OH,43615,561510,Travel Agencies,8,0,7,663.45,7,5/24/2005,5/23/2007
1481485,"AAA Northwest Ohio, Inc. -  Perrysburg","AAA Northwest Ohio, Inc.","26611 N. Dixie Hwy., Suite 103",Perrysburg,OH,43551,561510,Travel Agencies,5,0,4,339.16,4,5/24/2005,5/23/2007
1468994,"AAA Northwest Ohio, Inc","AAA Northwest Ohio, Inc",7150 W. Central Avenue,Toledo,OH,43617,561510,Travel Agencies,43,0,42,4237.74,42,5/24/2005,5/23/2007
1481483,"AAA Northwest Ohio, Inc - Oregon","AAA Northwest Ohio, Inc.",3237 Navarre Ave.,Oregon,OH,43616,561510,Travel Agencies,4,0,3,179,3,5/24/2005,5/23/2007
1755463,Aall Care Home Health,"Aall Care Living Services, Inc.",8310 East 73rd St.,Tulsa,OK,74133,623990,Other Residential Care Facilities,11,0,10,6935.47,10,4/3/2013,4/2/2015
1770664,Aall Care Home Health,"Aall Care Living Services, Inc.",8310 East 73rd Street,Tulsa,OK,74133,623990,Other Residential Care Facilities,5,0,4,3139.57,4,4/3/2013,4/2/2015
1555720,Aall Care  Home Health,"Aall Care Living Services, Inc.",4867 South Sheridan,Tulsa,OK,74145,6216,Home Health Care Services,33,0,32,61490.57,32,2/29/2008,2/27/2010
1814409,Aall Care,"Aall Care Living Services, Inc.",8310 E. 73rd St.,Tulsa,OK,74133,621610,Home Health Care Services,113,0,113,12945.35,112,7/15/2015,7/14/2017
1688801,Woodhaven Furniture Industries,Aaron's Incorporated,611 20th Street SE,Cairo,GA,39828,337125,Household Furniture (except Wood and Metal) Manufacturing,0,0,0,0,0,3/23/2011,3/22/2013
1655513,Aarons,"Aaron's, Inc",34 Weyman Ave,New Rochelle,NY,10805,453998,All Other Miscellaneous Store Retailers (except Tobacco Stores),0,0,0,0,0,6/1/2010,5/31/2012
1640729,Home Smart,"Aaron's, Inc.",2017 Hoffmeyer Rd.,Florence,SC,29501,53221,Consumer Electronics and Appliances Rental,16,3300,15,13380.79,15,7/16/2011,4/7/2012
1804119,Aaron's Sales & Lease,Aaron's Inc.,2105 MacArthur Dr.,Orange,TX,77630,337125,Household Furniture (except Wood and Metal) Manufacturing,0,0,0,0,0,3/28/2015,3/18/2017
1087898,Abacus Technology Corporation,Abacus Technology Corporation,2051 Wyoming Blvd SE,Kirtland AFB,NM,87117,54199,"All Other Professional, Scientific, and Technical Services",41,0,33,206346.79,33,9/1/2000,4/15/2005
1603756,Abacus Technology Corporation,Abacus Technology Corporation,1951 First St.  Bldg 20140,Kirtland AFB,NM,87117,512199,Other Motion Picture and Video Industries,2,187,1,236.43,1,2/26/2009,2/25/2011
1621646,Abacus Technology Corporation,Abacus Technology Corporation,2225 Stanley Road,San Antonio,TX,78234,517919,All Other Telecommunications,11,0,11,21367.21,11,9/1/2010,8/31/2011
1549463,Abacus Technology Corporation,Abacus Technology Corporation,2225 Stanley Road,San Antonio,TX,78234,517110,Wired Telecommunications Carriers,0,0,0,0,0,4/21/2009,9/22/2010
1511202,Pic N Save,"ABBC, Inc.",440 Douglas Ave,Brewton,AL,36426,445110,Supermarkets and Other Grocery (except Convenience) Stores,7,11880,6,0,0,8/6/2006,8/5/2008
1410889,Cost Plus Food Outlet #324,"ABBC, Inc",305 E. 3 Notch Street,Andalusia,AL,36420,44511,Supermarkets and Other Grocery (except Convenience) Stores,8,0,7,4726.11,7,6/22/2003,6/19/2005
1410891,Pic N Sav #321,"ABBC, Inc.",440 Douglas Avenue,Brewton,AL,36426,44511,Supermarkets and Other Grocery (except Convenience) Stores,6,0,5,2970.56,5,6/22/2003,6/19/2005
1409322,Pic-N-Sav,"ABBC, Inc.",2419 College Avenue,Jackson,AL,36545,44511,Supermarkets and Other Grocery (except Convenience) Stores,8,0,7,4156.7,7,6/22/2003,6/19/2005
1510019,"ABC Phones, Inc.","ABC Phones of North Carolina, Inc.",3280 South Charles Bvld.,Greenville,NC,27858,44311,"Appliance, Television, and Other Electronics Stores",24,0,24,9515.35,20,6/12/2006,6/11/2008
1555819,A Wireless Incorporated,"ABC Phones of North Carolina, Inc.",3280 S. Charles Blvd,Greenville,NC,27858,517212,Cellular and Other Wireless Telecommunications,0,0,0,0,0,6/16/2008,8/31/2009
1825677,A Wireless,"ABC Phone of North Carolina, Inc.",6400 Weddington-Monroe Rd.,Matthews,NC,28104,4431,Electronics and Appliance Stores,0,0,0,0,0,6/28/2015,6/27/2017
1867988,Verizon,"ABC Phones of North Carolina, Inc.",2049 S Highway 27,Somerset,KY,42501,443112,"Radio, Television, and Other Electronics Stores",0,0,0,0,0,11/17/2016,11/16/2018
1452874,"ABC Student Transportation, Inc",ABC Student Transportation,12680 Westwood,Detroit,MI,48223,485410,School and Employee Bus Transportation,62,0,61,23442.78,61,9/12/2004,9/9/2006
1614365,Student Transportation of America,"Student Transportation, Inc.",125 South Main Street,Naugatuck,CT,6770,485410,School and Employee Bus Transportation,1,0,1,599.33,1,7/1/2009,7/1/2011
1602332,Student Transportation of America,"Student Transportation, Inc.",10 Breezy Hill Road,Bradford,NH,3221,485410,School and Employee Bus Transportation,2,0,1,96.53,1,5/16/2010,6/12/2010
1684563,"ABC Student Transportation, Inc.","ABC Student Transportation, Inc.",12680 Westwood St,Detroit,MI,48223,48541,School and Employee Bus Transportation,24,5060,23,10654.1,23,5/1/2011,4/26/2013
1694800,ABG Caulking & Waterproofing,"ABG Caulking Contractors, Inc.",861 Springfield Highway,Goodlettsville,TN,37072,238390,Other Building Finishing Contractors,7,0,3,4639.58,3,3/17/2013,9/8/2013
1712273,ABG Caulking Contractors Inc,ABG Caulking Contractors Inc,1321 Murfreesboro Road,Nashville,TN,37217,236220,Commercial and Institutional Building Construction,0,0,0,0,0,10/1/2012,11/17/2013
1571664,ABG Caulking and Waterproofing,"ABG Caulking Contractors, Inc.",301 South Main Street,Goodlettsville,TN,37072,238160,Roofing Contractors,11,0,10,1836.22,10,8/23/2009,3/14/2010
1835461,ABG Caulking & Waterproofing,"ABG Caulking Contractors, Inc.",861 Springfield Highway,Goodlettsville,TN,37072,238390,Other Building Finishing Contractors,1,0,0,0,0,4/15/2017,10/14/2017
1683207,"Abilities Services, Inc. -  Crawfordsville","Abilities Services, Inc.",1237 Concord Road,Crawfordsville,IN,47933,62419,Other Individual and Family Services,34,0,34,6842.68,34,4/7/2011,4/6/2013
1685781,"Abilities Services, Inc. - Frankfort","Abilities Services, Inc.",110 S. Prairie Ave.,Frankfort,IN,46041,9180,State Sheltered Workshops,45,0,45,27194.29,45,4/7/2011,4/6/2013
1614443,"Abilities Services, Inc","Abilities Services, Inc.",950 McKinley Ave.,Frankfort,IN,46041,624310,Vocational Rehabilitation Services,5,0,5,43.03,5,4/1/2008,3/31/2010
1691765,Abilities Services Incorporated,Abilities Services INC,2301 Concord Rd.,Lafayette,IN,47909,624120,Services for the Elderly and Persons with Disabilities,1,0,1,1644,1,3/9/2013,4/29/2013
1825972,ABM,"ABM Industry Groups, LLC","1650 Arch Street, Suite 2200",Philadelphia,PA,19103,561720,Janitorial Services,13,0,6,7847.13,6,8/1/2015,7/31/2017
1838189,ABM,"ABM Industry Groups, LLC",101 S. 3rd St.  (Am. Revolution Museum),Philadelphia,PA,19106,561720,Janitorial Services,1,0,0,0,0,4/1/2017,8/18/2017
1827474,ABM Janitorial,"ABM Industry Groups, LLC",354 Gest Street,Cincinnati,OH,45203,561720,Janitorial Services,0,0,1,0,0,10/5/2015,10/5/2017
1827351,ABM Industry Groups LLC,ABM Industry Groups LLC,1150 S Olive St,Los Angeles,CA,90015,561720,Janitorial Services,12,0,11,22653,11,10/11/2015,10/10/2017
1736541,ABM Janitorial Services,"ABM Janitorial Services - North Central, Inc.","5300 South 73rd St, Suite #1",Omaha,NE,68127,561720,Janitorial Services,0,0,0,0,0,11/11/2012,11/8/2014
1699649,ABM Janitorial Services- North Central,"ABM Janitorial Services- North Central, Inc",180 N. Lasalle St Auite 1700,Chicago,IL,60601,561720,Janitorial Services,4,0,3,0,0,1/1/2013,8/31/2013
1725725,ABM Janitorial Services,"ABM Janitorial Services- North Central, INC.",1752 Howard,Detroit,MI,48216,561720,Janitorial Services,0,0,1,0,0,4/22/2013,4/21/2014
1650712,ABM Janitorial Services-North Central,"ABM Janitorial Services - North Central, Inc","180 N LaSalle Street, Suite 1700",Chicago,IL,60601,561720,Janitorial Services,2,220,1,10799.75,1,6/25/2010,5/12/2012
1688710,"ABM Janitorial Services, Inc.","ABM Services, Incorporated",4th street,San Diego,CA,92135,561720,Janitorial Services,4,0,1,15782.98,1,10/1/2011,3/30/2013
1686632,ABM Janitorial Services (FBI),"ABM Services, Incorporated",9797 Aero Drive,San Diego,CA,92123,561720,Janitorial Services,0,0,0,0,0,5/1/2011,2/14/2013
1686633,ABM Janitorial Services (DEA),"ABM Services, Incorporated",4560 Viewridge Ave.,San Diego,CA,92123,561720,Janitorial Services,0,0,0,0,0,5/1/2011,2/14/2013
1675011,ABM Janitorial Services,"ABM Services, Incorporated",3940 Ruffin Rd Suite C,San Diego,CA,92123,561720,Janitorial Services,0,0,0,0,0,2/15/2011,2/14/2013
1809685,Super 8 (Provo),"ABP Utah, LLC",1555 N Canyon Rd,Provo,UT,84604,721110,Hotels (except Casino Hotels) and Motels,25,0,23,7141.81,23,1/1/2015,12/31/2016
1824391,Days Inn (Moab),"ABP Utah, LLC",426 North Main Street,Moab,UT,84532,721110,Hotels (except Casino Hotels) and Motels,14,0,13,11933.72,13,7/1/2015,6/30/2017
1815416,Comfort Inn & Suites (Fillmore),ABP Utah LLC,940 South Hwy 99,Fillmore,UT,84631,721110,Hotels (except Casino Hotels) and Motels,2,0,0,0,0,1/1/2015,12/31/2016
1815419,Motel 6 (Richfield),ABP Utah LLC,647 S Main St,Richfield,UT,84701,721110,Hotels (except Casino Hotels) and Motels,1,0,0,0,0,1/1/2015,12/31/2016
1758441,"Absolute Drywall Services, LLC","Absolute Drywall Services, LLC",3909 132nd PL NE,Marysville,WA,98271,238310,Drywall and Insulation Contractors,2,0,1,54,1,5/19/2013,5/16/2015
1794218,Absolute Drywall,"Absolute Drywall, Inc.",10100 166th Street W.,Lakeville,MN,55044,238310,Drywall and Insulation Contractors,4,0,1,0,0,9/1/2015,6/13/2016
1598209,"Absolute Drywall, Inc.","Absolute Drywall, Inc.",3031 Williams Blvd SW,Cedar Rapids,IA,52404,238310,Drywall and Insulation Contractors,27,0,10,24553.42,10,2/6/2010,6/30/2011
1800777,Absolute Drywall,"Absolute Drywall, Inc.",1301 Park Place #42,Burnsville,MN,55337,238310,Drywall and Insulation Contractors,29,0,28,126268,28,6/20/2014,6/19/2016
1828841,Absolute Janitorial - BLM,"Absolute Janitorial Services, LLC",1296 W 635 S,Orem,UT,84058,561720,Janitorial Services,4,0,2,1935.39,2,7/22/2015,7/21/2017
1820334,Absolute Janitorial Service - Forest Service,"Absolute Janitorial Service, LLC",1296 W 635 S,Orem,UT,84058,561720,Janitorial Services,6,0,5,2636.43,5,7/16/2015,7/15/2017
1822784,Absolute Janitorial Services - FAA,"Absolute Janitorial Services, LLC",1296 W 635 S,Orem,UT,84058,561720,Janitorial Services,2,0,1,954.91,1,6/4/2015,6/3/2017
1823303,Absolute Janitorial Services - DOD,"Absolute Janitorial Services, LLC",1296 W 635 S,Orem,UT,84058,561720,Janitorial Services,1,0,1,4120.24,1,6/4/2015,6/3/2017
1607157,Pronto,ABY Corp,1146 S. Crocker ST,Los Angeles,CA,90021,31523,Women's and Girls' Cut and Sew Apparel Manufacturing,1,0,0,0,0,10/18/2010,1/18/2011
1646080,Pronto,A.B.Y. Corp,1146 S. Crocker Street,Los Angeles,CA,90021,3152,Cut and Sew Apparel Manufacturing,1,0,0,0,0,11/14/2011,2/14/2012
1518587,Acambaro Mexican Restaurant,"Acambaro Mexican Restaurant, Inc.",121 North Thompson,Springdale,AR,72764,722110,Full-Service Restaurants,17,0,16,8443.02,16,8/4/2006,8/1/2008
1522746,Acambaro Restaurant,"Acambaro Mexican Restaurants, Inc. dba Acamba",150 S Curtis,Pea Ridge,AR,72751,722110,Full-Service Restaurants,6,0,5,1866.15,4,8/18/2006,6/27/2008
